price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,beds,baths,area,latitude,longitude,isZillowOwned,variableData,badgeInfo,pgapt,sgapt,zestimate,info3String,brokerName
379000,379000,"6824 Quinton Dr, Austin, TX 78747",6824 Quinton Dr,Austin,TX,78747,3,3,2068,30.152006,-97.73984,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$10,000 (Nov 4)'}",,ForSale,For Sale (Broker),376046,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"eXp Realty, LLC"
399999,399999,"6805 Horseshoe Pond Dr, Del Valle, TX 78617",6805 Horseshoe Pond Dr,Del Valle,TX,78617,4,3,2281,30.15957,-97.63356,FALSE,"{'type': 'DAYS_ON', 'text': '16 days on Zillow'}",,ForSale,For Sale (Broker),397036,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
405000,405000,"1909 Rinker Ranch Dr, Austin, TX 78725",1909 Rinker Ranch Dr,Austin,TX,78725,3,2,1370,30.218246,-97.63541,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 11am-1pm'}",,ForSale,For Sale (Broker),402000,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,FlyHomes Brokerage LLC
430000,430000,"12907 Heyerdahl Dr, Austin, TX 78753",12907 Heyerdahl Dr,Austin,TX,78753,3,3,2233,30.401566,-97.65073,FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,ForSale,For Sale (Broker),426814,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Realty Austin
285000,285000,"4206 McKinney Falls Pkwy, Austin, TX 78744",4206 McKinney Falls Pkwy,Austin,TX,78744,3,2,1428,30.191557,-97.69944,FALSE,"{'type': 'DAYS_ON', 'text': '49 days on Zillow'}",,ForSale,For Sale (Broker),281700,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Berkshire Hathaway TX Realty
374000,374000,"5500 China Berry Rd, Austin, TX 78744",5500 China Berry Rd,Austin,TX,78744,4,2,1082,30.192705,-97.73609,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Thu. 9am-7pm'}",,ForSale,For Sale (Broker),370651,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Opendoor Brokerage, LLC"
439500,439500,"2601 Parker Ln APT A, Austin, TX 78741",2601 Parker Ln APT A,Austin,TX,78741,3,2,1122,30.229162,-97.73896,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$10,000 (Oct 25)'}",,ForSale,For Sale (Broker),436075,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Varela Properties
450000,450000,"2813 Marcus Abrams Blvd, Austin, TX 78748",2813 Marcus Abrams Blvd,Austin,TX,78748,3,3,1455,30.149862,-97.84323,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 11am-2pm'}",,ForSale,For Sale (Broker),446037,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,All City Real Estate Ltd. Co
356900,356900,"2504 Elara Dr, Austin, TX 78725",2504 Elara Dr,Austin,TX,78725,4,3,1735,30.213396,-97.638275,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$18,100 (Oct 7)'}",,ForSale,For Sale (Broker),352800,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
310000,310000,"15104 Sabal Palm Rd, Austin, TX 78724",15104 Sabal Palm Rd,Austin,TX,78724,4,3,1704,30.257038,-97.578636,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$15,000 (Nov 7)'}",,ForSale,For Sale (Broker),305658,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"eXp Realty, LLC"
